time,flux,flux_err
142.56670876976568,29587.502,5.9965315
142.58714325603796,29595.277,5.994653
142.60757764219306,29602.453,5.9973283
142.62801192834013,29607.127,5.995718
142.648446414496,29616.504,5.997027
142.66888080064382,29618.678,5.9999156
142.68931508668175,29638.867,5.9970484
142.70974947260402,29633.865,5.9998126
142.73018395864347,29626.484,5.99499
142.7506182445577,29658.473,5.9966354
142.77105263036356,29632.691,5.993693
142.7914871161629,29649.197,5.9997444
142.811921401968,29669.594,5.9992313
142.83235578777385,29666.393,5.995886
142.8527901734633,29657.246,5.9971757
142.8732246590298,29671.6,5.999302
142.89365894471848,29680.56,6.000366
142.9140933302915,29681.656,6.003595
142.9345278157416,29691.133,6.0009727
142.95496210131387,29696.049,6.0016418
142.97539648665406,29699.273,6.0050917
142.99583077210264,29713.664,6.001438
143.0162652574436,29703.756,6.004913
143.03669964266737,29725.441,6.0069957
143.0571340280003,29721.738,6.003858
143.07756841322407,29726.754,6.004454
143.09800279833144,29743.998,6.0065937
143.11843718343152,29770.521,6.0082407
143.1388715685389,29745.775,6.003407
143.15930595363898,29330.715,5.9782763
143.17974033862993,29171.568,5.967107
143.2001746235037,29204.018,5.971081
143.22060900837823,29236.12,5.9699106
143.24104349324625,29699.479,6.0034723
143.2614778781208,29798.238,6.006095
143.28191226287163,29806.494,6.0027046
143.30234664751333,29806.963,6.0058675
143.32278103227145,29804.14,6.002966
143.34321541691315,,
143.3636497014304,29825.295,6.0074506
143.38408418595645,29843.578,6.007969
143.40451857047447,29850.166,6.0110183
143.42495285488258,29841.8,6.013067
143.4453873392922,29859.773,6.007488
143.46582172358467,29862.127,6.011797
143.4862560079855,29872.922,6.0111957
143.50669039216154,29868.025,6.012594
143.5271248764475,29890.459,6.0146384
143.54755926062353,29895.344,6.012688
143.5679935446824,29899.63,6.0125895
143.58842802874278,29899.607,6.0124965
143.60886241279513,29915.795,6.017761
143.62929669673758,29911.738,6.013987
143.6497310806808,29928.57,6.014745
143.6701655646175,29923.55,6.012862
143.69059984844353,29941.908,6.014917
143.7110342321539,29946.51,6.013881
143.73146861597343,29963.99,6.0182757
143.7519029996838,29960.84,6.0199623
143.77233738327777,29978.158,6.021059
143.79277176686446,29976.54,6.015563
143.81320615045843,29979.385,6.016117
143.83364053393598,29987.229,6.0160213
143.85407491740625,30006.834,6.014325
143.87450920076662,30000.668,6.0127687
143.89494368412852,30014.629,6.0154247
143.91537806748238,30019.709,6.0191865
143.93581235072634,30014.855,6.0181046
143.95624683397182,30042.152,6.0230794
143.97668121709285,30037.932,6.020568
143.9971155002204,30039.812,6.0184855
144.0175498833487,30065.61,6.019624
144.03798436635407,30063.693,6.021635
144.05841874924954,30068.535,6.0154862
144.07885303226067,30073.977,6.0206027
144.09928751514963,30069.02,6.021402
144.11972189792868,30087.656,6.01963
144.14015618070698,30094.11,6.0164013
144.16059056347876,30088.803,6.02191
144.18102504614217,30091.08,6.0182405
144.20145932880405,30095.725,6.020075
144.221893711343,30107.03,6.0204005
144.24232819389,30120.361,6.0209208
