time,flux,flux_err,flux_norm,flux_err_norm
299.6198213981261,30446.262,7.257302,1.0686344262254517,0.00025472429944650753
299.64025422117265,30468.484,7.2565637,1.0694143969890082,0.0002546983858287083
299.66068694398564,30448.756,7.2575355,1.0687219632196157,0.00025473249507126184
299.6811197667921,30452.812,7.2574296,1.068864324906997,0.00025472877808341824
299.7015526893738,30473.217,7.2574224,1.0695805207233215,0.0002547285253703637
299.72198541194666,30451.256,7.2577977,1.0688097108079917,0.0002547416980383307
299.74241823429475,30504.271,7.261074,1.0706704861670928,0.0002548566930078492
299.7628511566436,30468.764,7.2594175,1.0694242247189063,0.0002547985514557913
299.7832838787581,30468.055,7.2601385,1.069399339502843,0.0002548238578602789
299.80371670086606,30479.37,7.2578654,1.0697964850878325,0.00025474407424302395
299.82414962274925,30486.094,7.259931,1.0700324910015286,0.0002548165748104437
299.84458234462363,30477.838,7.259037,1.0697427133656758,0.0002547851962728405
299.86501516638964,30490.414,7.260498,1.0701841188342425,0.0002548364759634874
299.8854479879228,30495.059,7.2597747,1.070347153853445,0.00025481108883121845
299.9058809094495,30495.25,7.2606688,1.070353857769197,0.00025484247087872525
299.92631363074906,30504.527,7.261308,1.0706794715201424,0.0002548649061821212
299.9467464520494,30506.543,7.260241,1.070750231175409,0.0002548274555114023
299.9671793731104,30504.611,7.261714,1.070682419839112,0.00025487915639047344
299.9876120941772,30493.393,7.260708,1.0702886788605512,0.000254843846760911
300.00804491512827,30510.41,7.2594395,1.070885959145109,0.000254799323634569
300.0284776358458,30507.848,7.262362,1.0707960354165413,0.00025490190056538055
300.0489105565576,30502.758,7.261967,1.0706173813266078,0.0002548880364464171
300.0693433771594,30510.791,7.2622375,1.0708993318775775,0.0002548975307354794
300.0897760976368,30530.375,7.261863,1.0715867113858797,0.0002548843861467407
300.11020901789016,30514.334,7.262193,1.0710236877598238,0.0002548959688284063
300.1306418381428,30525.943,7.263148,1.0714311524612066,0.00025492948840716593
300.1510746582717,30526.934,7.26178,1.071465935605239,0.0002548814729268066
300.17150747817504,30541.584,7.2627754,1.0719801364731223,0.00025491641050659437
300.1919402980784,30554.996,7.2633753,1.0724508847352416,0.0002549374664179011
300.2123730178573,30543.96,7.262458,1.0720635317811147,0.00025490527007277414
300.23280583752785,30551.828,7.2635717,1.0723396909912517,0.0002549443598684439
300.2532387570827,30573.889,7.2639594,1.0731140108101167,0.00025495796776444924
300.27367147651967,30557.625,7.264356,1.072543160099178,0.0002549718880418692
300.29410429571726,30579.418,7.26452,1.0733080733765692,0.0002549776442836667
300.3145372149229,30567.432,7.265334,1.0728873763388593,0.00025500621489844193
300.3349699340033,30575.594,7.2649035,1.0731738546653893,0.00025499110476372356
300.375835571831,30565.102,7.2653,1.0728055955864928,0.00025500502153124
300.3962683905702,30567.127,7.2646503,1.0728766711330775,0.00025498221768797285
300.4167012091857,30563.475,7.265798,1.0727484894559778,0.0002550225008508445
300.4371340276921,30591.734,7.265332,1.0737403530959446,0.0002550061447003712
300.4575668461912,30581.29,7.264694,1.0733737787707451,0.00025498375151581764
300.47799966446473,30593.887,7.265784,1.073815921319054,0.0002550220094643496
300.49843248262187,30594.143,7.2651515,1.0738249066721037,0.00025499980932449046
300.51886540065607,30598.43,7.26672,1.0739753762366508,0.00025505486216143757
300.5392981185796,30598.42,7.266438,1.0739750252462974,0.00025504496423346874
300.5597309365039,30588.645,7.2652593,1.0736319321757473,0.00025500359300050125
300.5801636541946,30584.594,7.2654905,1.0734897459835429,0.00025501170789747423
300.6005965717632,30586.19,7.2667727,1.073545764043962,0.0002550567118806005
300.6210293893382,30587.049,7.2676854,1.073575914115328,0.00025508874677016485
300.64146220668044,30267.18,7.248929,1.062348820776832,0.00025443041522351864
300.6618950240154,29984.93,7.23115,1.0524421180491823,0.00025380638947402397
300.6823278411248,29973.09,7.233086,1.0520265454706337,0.0002538743412064623
300.7027606582269,30008.803,7.234359,1.0532800373201023,0.0002539190222784634
300.72319347510347,30442.492,7.2579503,1.0685021028621806,0.0002547470541511252
300.74362629198004,30631.133,7.267924,1.075123219989715,0.00025509712139999946
300.76405910862377,30604.777,7.2656236,1.0741981498140198,0.0002550163795790794
300.78449182525947,30602.215,7.266567,1.0741082260854522,0.000255049492009029
300.80492474178754,30619.078,7.2675214,1.074700101118566,0.00025508299052836734
300.8253575581912,30604.275,7.2667246,1.074180530098274,0.0002550550236170002
300.8457902744849,30624.76,7.266566,1.0748995338374268,0.0002550494569099936
300.8662231905473,30598.264,7.267136,1.0739695497967827,0.0002550694633601433
300.886656006609,30612.293,7.2686443,1.0744619541637135,0.0002551224032351623
300.9070887225462,30609.018,7.267302,1.0743470048229409,0.00025507528980001147
300.9275215384914,30597.078,7.26713,1.0739279223408573,0.0002550692527659312
300.9479544541973,30612.64,7.26822,1.07447413352898,0.00025510751071446315
300.9683872697933,30591.377,7.2673054,1.0737278227403246,0.00025507540913673166
300.98881998527213,30609.805,7.267942,1.0743746277637616,0.00025509775318263575
301.00925290063606,30589.068,7.265889,1.0736467790677005,0.0002550256948630614
301.0296857158756,30601.703,7.2676287,1.0740902553793528,0.0002550867566548605
301.0501184311215,30606.88,7.2685313,1.0742719630853619,0.00025511843704416776
301.0705513461289,30599.059,7.2669277,1.0739974535298864,0.00025506215223107987
